LLLHLLLLHLHLLLLLHLLHHLHLHLLLHLHHLHLLLHHLHHLLHHHHLHHLLLLLHHLLLLHH
W_LIST: -3.80823 0.311675 4.66419 -3.15056 -4.3519 0.299981 2.72447 -0.873014 -1.77918 1.8673 -3.63107 3.5417 -4.65147 -0.435045 -1.38617 -0.96338 3.90413 2.0825 1.13042 2.77429 4.32234 -1.23876 4.58615 -3.80802 -0.206617 -2.21951 -3.12399 -1.62187 -3.81112 -4.53977 -3.38997 -2.76606 -0.260825 3.24297 1.73282 -2.59011 -0.352497 1.34939 3.47321 2.84453 -4.1951 -4.15393 3.95666 0.883367 -2.43928 -1.07915 1.76074 4.41863 -1.89289 0.529965 3.45343 -1.73391 0.452079 3.26306 0.726272 -3.91721 -4.81623 1.2662 2.11951 4.53028 -2.72973 -1.63029 -4.46692 2.10051 
st	op	ed	phy
SITE: 11	12	14	0
SITE: 18	20	21	0
SITE: 4	6	7	1
SITE: 34	35	37	0
SITE: 38	40	41	1
SITE: 5	8	9	1
SITE: 4	7	9	0
SITE: 21	22	24	0
SITE: 43	44	46	1
SITE: 47	48	50	0
SITE: 25	26	28	0
SITE: 41	42	45	1
SITE: 15	16	18	0
SITE: 52	53	55	1
SITE: 43	46	47	0
SITE: 36	38	39	0
SITE: 41	45	47	1
SITE: 37	41	43	1
SITE: 56	58	59	1
SITE: 54	56	57	1
SITE: 14	17	18	1
SITE: 23	25	27	0
SITE: 21	23	27	0
SITE: 36	39	43	1
SITE: 51	54	55	1
SITE: 3	4	9	0
SITE: 21	24	28	0
SITE: 37	47	49	0
SITE: 52	55	59	0
SITE: 3	9	10	1
SITE: 5	10	13	1
SITE: 57	59	61	1
SITE: 14	18	19	1
SITE: 15	19	27	0
SITE: 57	60	62	0
SITE: 33	34	37	1
SITE: 43	50	51	0
SITE: 0	2	3	1
SITE: 5	11	14	1
SITE: 13	14	21	0
SITE: 13	21	27	0
SITE: 1	3	13	1
SITE: 51	57	61	1
SITE: 43	51	52	0
SITE: 15	28	29	1
SITE: 5	13	27	1
SITE: 31	33	36	0
SITE: 29	30	32	1
SITE: 43	49	61	0
SITE: 37	52	61	1
SITE: 36	37	61	0
SITE: 32	36	61	1
SITE: 32	61	62	0
SITE: 29	31	43	1
SITE: 15	29	32	0
SITE: 5	27	32	0
SITE: 15	32	62	0
SITE: 0	0	15	0
SITE: 5	43	62	0
SITE: 1	1	62	1
SITE: 5	62	63	1
SITE: 5	63	63	0
SITE: 5	5	15	1
WARN: Unitary gate is identity
SITE: 15	15	15	0
MPS Info: -2.09162 0.24112 0.126689 
Writing MPS done!
