LHLHLLHLLHHLHLHHHHHHLHHLHHHHHHHHLLLLLHHHHLHHLLHLLHLHLHLLLHHLLLHL
W_LIST: 4.38572 5.71038 -4.36712 -5.48729 -4.18878 2.44548 3.86153 -3.03799 2.80973 0.910427 -0.859987 -0.455088 4.67511 -3.87003 -1.06043 3.89511 3.58767 5.44435 -4.17357 2.95305 4.5546 -5.98695 3.05877 4.91972 2.62994 0.325729 -4.34824 -0.00415248 1.01313 5.05296 -4.2499 2.46336 -3.55069 -4.88799 2.15903 -1.10332 0.553854 5.74099 4.27127 3.89675 1.25771 4.66774 -5.61049 3.72122 3.51952 2.12772 -4.41953 -0.460301 -1.22542 0.528066 -5.29168 1.77337 2.28986 1.97311 -3.818 -4.91617 2.66882 2.65952 3.21287 2.05643 0.198509 4.31716 -5.98457 2.47886 
st	op	ed	phy
SITE: 11	12	14	0
SITE: 21	23	24	1
SITE: 4	6	7	0
SITE: 28	29	31	0
SITE: 44	46	47	1
SITE: 1	3	4	1
SITE: 7	8	10	1
SITE: 0	1	4	0
SITE: 13	15	16	0
SITE: 59	61	62	1
SITE: 52	54	55	0
SITE: 42	43	45	0
SITE: 37	38	40	0
SITE: 0	0	5	1
SITE: 13	16	17	0
SITE: 41	42	45	1
SITE: 35	37	39	0
SITE: 11	13	17	0
SITE: 2	4	7	0
SITE: 21	22	25	0
SITE: 36	39	41	0
SITE: 49	50	52	0
SITE: 44	45	48	1
SITE: 40	41	47	1
SITE: 19	21	24	1
SITE: 35	36	44	1
SITE: 19	20	25	1
SITE: 9	10	14	1
SITE: 17	18	24	1
SITE: 9	11	17	0
SITE: 19	24	26	0
SITE: 57	58	60	0
SITE: 44	48	49	0
SITE: 27	30	31	1
SITE: 28	32	33	0
SITE: 56	57	60	0
SITE: 27	31	33	0
SITE: 14	17	25	0
SITE: 56	59	62	1
SITE: 55	56	62	1
SITE: 27	33	34	0
SITE: 34	35	44	0
SITE: 51	53	55	0
SITE: 49	51	55	0
SITE: 2	2	9	0
SITE: 40	44	49	1
SITE: 19	26	27	1
SITE: 9	19	25	0
SITE: 5	7	14	0
SITE: 40	49	52	0
SITE: 28	34	47	1
SITE: 40	52	55	1
SITE: 28	40	55	0
SITE: 27	28	55	0
SITE: 14	25	47	0
SITE: 5	5	27	1
SITE: 27	55	60	0
SITE: 27	47	62	1
SITE: 9	9	60	0
SITE: 14	27	62	1
SITE: 14	62	63	1
SITE: 14	63	63	1
SITE: 14	14	60	1
WARN: Unitary gate is identity
SITE: 60	60	60	1
MPS Info: 15.612 0.477584 6.1251e-05 
Writing MPS done!
