HLHHHHHLHLLHLLHHHHLLLLHHHHHHHHLHLHLLLHLHLLHHHLHHLHLLLHHLHLHHHLHL
W_LIST: -1.10264 -2.46399 4.10526 4.43812 -5.04709 -1.13816 -3.88348 1.05371 -3.38434 -0.973294 -0.805653 -5.60828 -1.66598 -0.0928251 2.87467 -1.49595 0.82563 -3.10938 -4.70375 3.06967 5.26786 -3.37107 -0.952435 5.59841 2.76772 -5.20048 2.48192 -1.57985 -5.28956 -2.79397 -0.660028 -4.98372 4.40979 -3.90592 4.53071 -1.519 4.68254 -3.52454 -1.69156 5.50533 1.54386 4.54702 0.845227 -5.74267 5.16944 1.95852 -5.665 -0.112684 1.59443 -0.273286 2.27691 -2.8825 4.31847 -5.98913 1.47275 5.48082 -5.93951 4.75789 1.5345 5.25427 -4.64416 -0.606801 -0.664889 -3.0125 
st	op	ed	phy
SITE: 3	4	6	1
SITE: 25	26	28	0
SITE: 12	14	15	0
SITE: 48	50	51	1
SITE: 15	17	18	1
SITE: 7	8	10	1
SITE: 52	53	55	1
SITE: 42	43	45	1
SITE: 40	41	44	1
SITE: 59	60	62	1
SITE: 37	39	40	0
SITE: 31	32	34	1
SITE: 46	48	49	1
SITE: 46	49	51	1
SITE: 52	55	56	1
SITE: 2	3	6	0
SITE: 42	44	46	0
SITE: 33	34	36	1
SITE: 9	11	12	1
SITE: 6	9	10	0
SITE: 1	2	6	0
SITE: 6	7	12	1
SITE: 56	57	59	1
SITE: 18	20	21	1
SITE: 24	25	28	1
SITE: 24	28	29	1
SITE: 24	29	30	1
SITE: 27	31	33	1
SITE: 30	33	36	1
SITE: 16	18	21	0
SITE: 42	46	47	1
SITE: 42	45	51	1
SITE: 47	52	54	1
SITE: 38	40	47	1
SITE: 56	59	61	0
SITE: 24	27	35	1
SITE: 38	47	51	1
SITE: 35	36	38	1
SITE: 16	21	22	0
SITE: 19	23	24	0
SITE: 15	19	22	1
SITE: 38	51	54	0
SITE: 22	24	35	0
SITE: 16	30	35	0
SITE: 5	6	12	1
SITE: 16	35	37	0
SITE: 13	15	22	1
SITE: 56	61	62	0
SITE: 5	12	13	0
SITE: 10	13	22	1
SITE: 0	1	10	0
SITE: 10	16	37	0
SITE: 22	37	42	1
SITE: 0	5	22	1
SITE: 42	56	58	1
SITE: 10	38	42	0
SITE: 22	54	58	0
SITE: 10	42	58	1
SITE: 0	0	58	1
SITE: 10	58	62	0
SITE: 10	63	63	0
SITE: 10	62	62	0
SITE: 10	10	22	0
SITE: 22	22	22	0
MPS Info: 23.8735 0.0805466 0.000423784 
Writing MPS done!
