LLLLLLLLHLLHHLHLHHLHHHLLLHHHHLLHHLLHLHLHHLHHLHHLLLHLLHLHHHHHLLHL
W_LIST: 6.48807 -0.319671 -0.508511 -0.765168 -6.91022 -6.5887 -4.80582 2.97157 3.33934 3.61317 6.34224 -5.03614 3.21427 -2.61213 4.88165 0.237438 -4.52405 1.08793 1.86374 5.09489 5.67303 -6.93965 -5.45223 3.21795 -0.362328 -5.26766 -5.45018 -3.98048 -1.99323 -4.73988 -6.64968 3.8949 5.5952 -1.07154 4.98642 2.95792 3.68069 -2.10641 4.20641 -5.77978 5.42967 5.70306 -4.24781 4.98272 0.800957 -2.69381 -3.23812 3.45629 -6.69087 4.98509 -0.451576 1.31427 -2.98832 -5.20932 -1.78892 3.00235 -5.99587 0.659908 -6.32447 -6.80798 2.56464 5.41969 -0.165646 0.761886 
st	op	ed	phy
SITE: 33	34	36	1
SITE: 12	14	15	0
SITE: 16	18	19	1
SITE: 1	3	4	0
SITE: 49	51	52	1
SITE: 42	43	45	0
SITE: 17	20	21	0
SITE: 48	49	52	1
SITE: 47	48	52	0
SITE: 36	38	39	1
SITE: 30	32	33	0
SITE: 41	42	45	1
SITE: 27	29	30	0
SITE: 21	22	24	0
SITE: 15	16	19	1
SITE: 52	53	55	1
SITE: 58	59	61	1
SITE: 1	4	5	0
SITE: 9	10	12	1
SITE: 36	39	40	1
SITE: 17	21	23	1
SITE: 7	9	11	1
SITE: 7	11	12	1
SITE: 12	13	17	0
SITE: 27	30	31	0
SITE: 27	31	33	0
SITE: 46	47	52	1
SITE: 57	58	61	1
SITE: 19	23	25	1
SITE: 24	26	27	1
SITE: 44	46	50	1
SITE: 0	0	5	1
SITE: 19	25	27	1
SITE: 40	41	45	1
SITE: 37	40	45	0
SITE: 55	56	60	1
SITE: 45	52	54	0
SITE: 36	37	45	1
SITE: 19	27	28	1
SITE: 17	19	28	0
SITE: 33	36	44	1
SITE: 6	7	12	1
SITE: 28	35	44	0
SITE: 54	55	60	0
SITE: 57	61	62	1
SITE: 33	45	50	1
SITE: 12	15	24	1
SITE: 17	28	33	1
SITE: 5	6	12	0
SITE: 50	54	60	0
SITE: 24	33	50	0
SITE: 17	24	50	0
SITE: 5	12	17	0
SITE: 44	50	60	1
SITE: 17	44	60	1
SITE: 5	8	57	0
SITE: 1	5	17	0
SITE: 2	57	60	1
SITE: 1	1	60	0
SITE: 2	60	62	1
SITE: 2	2	63	1
SITE: 17	63	63	1
SITE: 17	62	62	1
SITE: 17	17	17	0
MPS Info: 4.62874 0.590821 2.95305e-05 
Writing MPS done!
