HLLHHHHHLLLLHLHLHHLHHLHLHLLLLLHLHLLHHLLHHHHHHLHHHLHLLHLLLLLLLLLH
W_LIST: 3.12866 -0.499567 3.52512 6.46457 5.87373 4.43825 -1.1163 -3.22203 4.82755 1.63841 -1.12855 -2.78738 4.52585 -2.16144 2.64663 5.48055 2.62366 4.99913 -1.69952 -0.777563 -1.24186 -4.71844 4.56916 4.09439 -5.59589 1.86842 1.09205 -6.39576 -2.74526 0.84656 -4.47134 -0.652762 -2.04588 3.3411 3.36031 -3.77349 -0.758503 6.49259 -3.34597 -6.3833 -0.263464 -5.28862 1.4543 6.23987 -3.29763 4.92236 -0.204906 -2.22951 0.168318 1.23039 -2.41214 1.87238 -3.22354 -4.40936 5.84236 -4.5071 3.63609 -4.33972 3.81618 -4.19915 -1.67227 -2.96328 4.76454 -0.847878 
st	op	ed	phy
SITE: 37	39	40	1
SITE: 37	38	41	0
SITE: 28	30	31	1
SITE: 54	55	57	0
SITE: 54	57	58	0
SITE: 41	43	44	0
SITE: 15	17	18	0
SITE: 56	58	60	1
SITE: 34	35	37	1
SITE: 56	59	61	0
SITE: 20	22	23	0
SITE: 3	4	6	0
SITE: 5	7	8	1
SITE: 11	12	14	0
SITE: 13	15	16	1
SITE: 27	28	31	0
SITE: 18	20	21	1
SITE: 42	45	46	1
SITE: 29	32	33	1
SITE: 48	50	51	1
SITE: 40	41	44	1
SITE: 53	54	60	1
SITE: 19	21	24	0
SITE: 0	2	3	1
SITE: 6	8	10	1
SITE: 23	24	26	1
SITE: 18	23	25	1
SITE: 9	11	13	0
SITE: 36	37	42	1
SITE: 33	34	40	1
SITE: 33	36	42	1
SITE: 56	61	62	0
SITE: 10	14	16	0
SITE: 40	44	46	1
SITE: 25	27	29	0
SITE: 42	47	48	1
SITE: 3	5	9	0
SITE: 18	25	26	1
SITE: 10	16	18	0
SITE: 42	46	49	1
SITE: 51	53	56	1
SITE: 29	33	40	1
SITE: 9	13	18	0
SITE: 9	18	19	0
SITE: 19	29	31	1
SITE: 6	9	19	1
SITE: 40	42	49	0
SITE: 0	3	6	0
SITE: 40	49	51	1
SITE: 48	52	56	0
SITE: 26	31	48	0
SITE: 1	6	19	1
SITE: 19	40	48	1
SITE: 1	10	26	0
SITE: 1	19	48	1
SITE: 0	0	48	0
SITE: 51	56	62	1
SITE: 26	51	60	1
SITE: 26	48	62	1
SITE: 1	1	62	0
SITE: 26	62	63	1
SITE: 26	63	63	1
WARN: Unitary gate is identity
SITE: 60	60	60	0
WARN: Unitary gate is identity
SITE: 26	26	26	1
MPS Info: -3.76709 0.310132 0.281355 
Writing MPS done!
