LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -1.97211 0.616241 2.49623 2.35948 -4.87661 3.39302 0.124735 4.97138 -3.97905 4.58899 2.38729 2.70961 6.17636 -1.05975 0.294374 -6.59184 -1.68193 -0.995705 5.14584 -4.24355 -1.03383 -3.95548 -3.60078 -6.20766 4.9443 3.75661 3.08418 0.144663 -4.58354 2.05787 -6.9243 0.675174 -6.72408 0.12753 4.05206 3.10527 3.9457 -6.70985 -1.58513 4.58587 -0.180004 5.17617 -0.162785 -0.0204352 0.683594 4.87301 -0.56817 -2.12812 4.49077 4.49666 6.79536 -2.98558 0.868133 3.76832 -6.6145 2.02535 -2.37468 6.77231 6.82666 3.73355 0.415285 6.10056 2.81612 4.55048 
st	op	ed	phy
SITE: 8	9	11	1
SITE: 20	21	23	1
SITE: 39	41	42	0
SITE: 49	50	52	0
SITE: 58	59	61	0
SITE: 37	39	40	1
SITE: 49	51	53	0
SITE: 24	25	27	1
SITE: 32	34	35	1
SITE: 4	5	7	1
SITE: 49	53	54	1
SITE: 3	4	7	0
SITE: 8	11	12	1
SITE: 48	49	54	1
SITE: 54	56	57	1
SITE: 26	28	29	0
SITE: 45	47	48	1
SITE: 3	7	8	1
SITE: 58	61	62	0
SITE: 30	32	33	0
SITE: 22	23	26	0
SITE: 6	8	12	0
SITE: 54	57	58	1
SITE: 3	10	12	0
SITE: 16	18	19	0
SITE: 55	58	62	0
SITE: 1	3	6	0
SITE: 2	12	13	1
SITE: 44	45	48	0
SITE: 37	38	42	0
SITE: 48	54	55	0
SITE: 20	24	26	1
SITE: 48	55	60	1
SITE: 14	15	17	0
SITE: 30	31	35	0
SITE: 42	44	46	1
SITE: 29	30	35	1
SITE: 37	42	43	0
SITE: 26	29	33	1
SITE: 6	13	16	1
SITE: 14	16	19	0
SITE: 17	19	22	0
SITE: 35	37	40	0
SITE: 0	2	6	0
SITE: 26	27	35	1
SITE: 43	48	52	0
SITE: 6	14	20	0
SITE: 46	60	62	1
SITE: 20	22	33	1
SITE: 17	26	33	0
SITE: 0	0	17	0
SITE: 17	20	35	1
SITE: 40	46	52	1
SITE: 35	36	43	0
SITE: 17	35	40	0
SITE: 17	33	43	0
SITE: 17	43	52	1
SITE: 17	52	62	0
SITE: 1	1	40	1
SITE: 6	6	62	0
SITE: 17	63	63	0
SITE: 17	62	62	1
SITE: 17	17	40	1
WARN: Unitary gate is identity
SITE: 40	40	40	0
MPS Info: -20.13 0.485806 0.0161759 
Writing MPS done!
