HLLHLLLHHLLHLHLHLHLLHLHHLHLLLLLLLHLHHHLHLHHLHLLHLLHHHLLHLLHLHHHL
W_LIST: 6.77222 0.457046 -3.02063 -1.9247 -2.33832 6.06114 -6.35872 -0.290297 -2.98685 -2.84318 -6.59955 -0.0356689 -2.32231 -5.04559 -0.203758 -7.69715 -5.84559 -0.636431 2.41918 0.668207 6.09442 -2.08515 -4.04319 -0.328897 7.51076 -6.64225 -4.13614 6.49217 1.15984 1.04495 -1.55775 -6.75937 -6.67485 -5.39665 -2.86761 2.15267 -7.50005 6.28297 7.33251 -3.8465 0.231071 -7.23455 1.07861 -0.052434 3.65179 -5.89544 -1.56681 -2.05775 -7.00299 6.86162 -7.5535 -1.04932 -2.33992 6.38954 -4.93034 5.76017 -2.88425 7.60962 -5.58522 -3.70664 6.29975 -3.48391 -6.72732 -7.77035 
st	op	ed	phy
SITE: 49	50	52	1
SITE: 24	25	27	1
SITE: 59	60	62	0
SITE: 5	6	8	0
SITE: 41	42	44	0
SITE: 37	38	40	1
SITE: 39	41	43	1
SITE: 52	53	55	1
SITE: 36	37	40	0
SITE: 45	47	48	1
SITE: 18	20	21	0
SITE: 36	39	43	1
SITE: 21	22	24	1
SITE: 21	24	26	1
SITE: 23	27	28	1
SITE: 35	36	43	1
SITE: 31	32	34	0
SITE: 49	52	54	1
SITE: 15	16	18	0
SITE: 26	29	30	1
SITE: 8	10	11	0
SITE: 33	34	40	0
SITE: 56	57	59	1
SITE: 9	12	13	0
SITE: 8	9	13	0
SITE: 18	21	23	0
SITE: 17	18	23	1
SITE: 5	8	11	1
SITE: 31	33	40	1
SITE: 0	0	3	0
SITE: 4	5	11	1
SITE: 46	48	51	0
SITE: 11	13	15	1
SITE: 11	15	17	1
SITE: 44	45	49	0
SITE: 44	49	51	1
SITE: 19	26	28	0
SITE: 2	4	7	0
SITE: 54	55	58	0
SITE: 31	35	43	0
SITE: 1	2	7	0
SITE: 43	44	51	0
SITE: 17	23	28	1
SITE: 17	19	30	1
SITE: 7	11	17	0
SITE: 51	54	58	0
SITE: 14	17	30	1
SITE: 28	31	40	0
SITE: 40	46	51	0
SITE: 7	14	30	0
SITE: 56	58	61	1
SITE: 7	30	40	0
SITE: 28	40	51	0
SITE: 28	51	56	1
SITE: 56	59	62	0
SITE: 1	1	28	1
SITE: 43	56	62	0
SITE: 3	3	43	1
SITE: 28	61	62	1
SITE: 7	43	62	1
SITE: 7	63	63	0
SITE: 7	62	62	1
SITE: 7	28	28	0
SITE: 7	7	7	0
MPS Info: -12.0516 0.211879 0.0517486 
Writing MPS done!
