LHHHLHLLLHHLHLHHHHLHHHLLLLHLLHLHLHHLHLHHLLLHHHLLLHLHLLHLHHHHLLHL
W_LIST: 7.46019 4.07729 -3.60224 -4.60736 -7.58387 -2.40148 -0.19331 8.63181 4.25401 -5.99443 -5.56784 5.42116 -3.42735 -4.58175 2.34288 -5.92603 8.78244 4.78265 -1.93206 -3.50993 -1.9371 -8.95142 7.78907 5.75848 1.73953 5.85795 -6.76487 -2.56199 -0.521521 0.742654 1.53778 -4.64861 -8.06611 4.64516 4.82483 -7.92597 2.78155 -6.04838 5.90757 8.20699 4.43378 7.16706 -6.9386 -3.00591 -5.84546 -0.135945 3.60371 1.87667 -5.22034 -5.39925 4.74094 2.17492 8.79633 7.13099 4.98648 -1.75704 -1.85287 2.41887 -1.65608 6.16576 -7.20242 -2.27804 4.40508 -6.65107 
st	op	ed	phy
SITE: 46	48	49	0
SITE: 5	7	8	1
SITE: 2	4	5	0
SITE: 32	34	35	0
SITE: 26	27	29	0
SITE: 53	54	56	0
SITE: 31	32	35	0
SITE: 46	49	50	1
SITE: 10	11	13	1
SITE: 15	16	18	0
SITE: 26	29	30	0
SITE: 6	9	10	1
SITE: 23	25	26	1
SITE: 47	50	52	1
SITE: 26	30	31	1
SITE: 17	19	20	1
SITE: 24	26	31	1
SITE: 43	44	46	1
SITE: 42	43	46	1
SITE: 56	57	59	0
SITE: 14	15	18	1
SITE: 17	18	21	0
SITE: 35	37	38	0
SITE: 59	60	62	0
SITE: 8	10	13	1
SITE: 39	41	42	1
SITE: 1	3	5	1
SITE: 46	47	52	1
SITE: 55	56	59	1
SITE: 13	17	20	0
SITE: 28	33	35	0
SITE: 22	23	28	1
SITE: 52	53	58	1
SITE: 5	8	12	1
SITE: 36	39	40	0
SITE: 28	35	36	0
SITE: 40	42	46	0
SITE: 5	12	13	1
SITE: 38	40	46	1
SITE: 58	59	62	0
SITE: 2	5	13	1
SITE: 0	0	6	1
SITE: 24	31	36	1
SITE: 20	21	24	1
SITE: 28	38	45	0
SITE: 20	22	28	1
SITE: 36	46	51	1
SITE: 20	24	36	1
SITE: 51	52	58	1
SITE: 20	36	45	0
SITE: 28	45	55	1
SITE: 14	20	51	1
SITE: 13	14	51	0
SITE: 51	55	61	0
SITE: 28	51	61	0
SITE: 1	2	13	1
SITE: 13	58	61	1
SITE: 6	13	61	0
SITE: 1	1	61	0
SITE: 6	61	62	0
SITE: 6	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 6	6	6	0
WARN: Unitary gate is identity
SITE: 28	28	28	0
MPS Info: -4.48994 0.456882 0.122728 
Writing MPS done!
